Chinese,SchoolYear,Age,Gender,Major,Credits,Elementary,Intermediate,Advanced,ClassHour,StudyHour,Fallasleeptime,SleepHour,WeakupTime,Activity,ActivityType,ActivityTime,Yes
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",16,Yes,Yes,No,3,5,Less than 30 minutes,7,Zero,Yes,Clubs/Student Organization,2,High
Yes,Junior,20,Female,Business,16,No,Yes,No,2.5,4,Less than 10 minutes,8,Zero,Yes,Clubs/Student Organization,2,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",15,Yes,Yes,No,6,3,Less than 10 minutes,7,Zero,Yes,Sports,1,High
Yes,Junior,20,Male,"STEM (Science, Technology, Engineering, Mathematics)",16,No,Yes,Yes,3,4,Less than 10 minutes,6.5,One,Yes,Sports,1,High
Yes,Sophomore,19,Male,Business,15,Yes,Yes,Yes,8,3,Less than 1 hour,7,One,No,I don't participate in extracurricular activities,10,High
Yes,Freshmen,18,Male,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,Yes,4,5,Less than 30 minutes,7,Zero,Yes,Clubs/Student Organization,1,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",15,Yes,Yes,No,3,5,Less than 10 minutes,7,Zero,Yes,Sports,5,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,No,Yes,Yes,2,4,Less than 10 minutes,7,One,No,I don't participate in extracurricular activities,3,High
Yes,Junior,20,Male,Business,18,No,Yes,No,11,2,Less than 10 minutes,7,Zero,Yes,Clubs/Student Organization,1,Low
Yes,Senior,21,Female,"Social Science (Economics, Sociology, Psychology, etc.)",17,No,Yes,Yes,5,2,Less than 30 minutes,6,One,Yes,Arts,1,Low
Yes,Senior,22,Female,"STEM (Science, Technology, Engineering, Mathematics)",19,Yes,Yes,Yes,3.2,5,Less than 30 minutes,5,Zero,Yes,Clubs/Student Organization,2,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",16,Yes,Yes,No,6.5,3,Less than 1 hour,7,Zero,No,I don't participate in extracurricular activities,2,High
Yes,Sophomore,19,Female,Business,14,Yes,Yes,Yes,3,3,Less than 10 minutes,9,One,Yes,Clubs/Student Organization,3,High
Yes,Sophomore,19,Female,Business,14,Yes,Yes,Yes,3,3,Less than 10 minutes,9,One,Yes,Clubs/Student Organization,3,High
Yes,Sophomore,19,Female,"Social Science (Economics, Sociology, Psychology, etc.)",18,Yes,Yes,Yes,3.5,3,Less than 30 minutes,6,Zero,Yes,Clubs/Student Organization,1.5,High
Yes,Senior,21,Female,"STEM (Science, Technology, Engineering, Mathematics)",15,Yes,No,Yes,3,3,1 hour or more,8,Zero,No,I don't participate in extracurricular activities,4,High
Yes,Junior,20,Female,"STEM (Science, Technology, Engineering, Mathematics)",14,No,Yes,Yes,4,8,Less than 10 minutes,7,Zero,Yes,Clubs/Student Organization,1,High
Yes,Freshmen,16,Female,Agriculture,16,Yes,Yes,No,9,6,Less than 30 minutes,8,One,No,I don't participate in extracurricular activities,0,High
Yes,Senior,21,Female,Agriculture,12,Yes,Yes,Yes,2,4.5,Less than 30 minutes,7,One,Yes,Part-time job,1.5,High
Yes,Junior,20,Female,"STEM (Science, Technology, Engineering, Mathematics)",18,Yes,Yes,Yes,4,4,Less than 30 minutes,7,Two,Yes,Clubs/Student Organization,2,High
Yes,Senior,22,Female,"STEM (Science, Technology, Engineering, Mathematics)",8,No,Yes,Yes,4.5,3,Less than 1 hour,7,Zero,Yes,Part-time job,2,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",14,Yes,Yes,No,2.9,5.6,Less than 10 minutes,7.5,Zero,Yes,Sports,2.5,High
Yes,Sophomore,19,Female,Business,14,Yes,Yes,No,2.5,5,Less than 10 minutes,8,Zero,Yes,Clubs/Student Organization,2,High
Yes,Senior,22,Female,"STEM (Science, Technology, Engineering, Mathematics)",12,Yes,No,Yes,2,2.5,1 hour or more,6,One,Yes,Part-time job,3,Low
Yes,Senior,21,Female,"STEM (Science, Technology, Engineering, Mathematics)",17,No,Yes,No,4,3,Less than 1 hour,7.5,Zero,Yes,Clubs/Student Organization,1,High
Yes,Freshmen,18,Female,"Liberal Art (Common Arts, History, etc.)",18,Yes,Yes,No,2.4,4,Less than 30 minutes,7,One,Yes,Arts,1,High
Yes,Freshmen,18,Female,"STEM (Science, Technology, Engineering, Mathematics)",16,Yes,Yes,No,4,8,Less than 30 minutes,6.5,Zero,No,Part-time job,2,High
Yes,Sophomore,19,Female,Agriculture,13,Yes,Yes,No,3.1,4,Less than 1 hour,7.5,One,Yes,Part-time job,2,High
Yes,Junior,20,Male,"Liberal Art (Common Arts, History, etc.)",13,Yes,Yes,Yes,2,2,Less than 1 hour,4,Zero,Yes,Clubs/Student Organization,2,Low
Yes,Senior,21,Male,"Social Science (Economics, Sociology, Psychology, etc.)",17,Yes,Yes,Yes,2.5,3,Less than 30 minutes,6,One,No,I don't participate in extracurricular activities,1,High
Yes,Senior,21,Male,"STEM (Science, Technology, Engineering, Mathematics)",15,Yes,Yes,Yes,2.5,1,Less than 30 minutes,10,Zero,Yes,Clubs/Student Organization,3,Low
Yes,Junior,20,Male,"STEM (Science, Technology, Engineering, Mathematics)",13,No,Yes,Yes,2.5,6,Less than 30 minutes,7.5,Zero,No,I don't participate in extracurricular activities,2,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,Yes,5,5.5,Less than 30 minutes,7,Zero,Yes,Part-time job,2.5,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,Yes,3,5,Less than 30 minutes,6,Zero,Yes,Sports,0.5,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,Yes,No,No,2,4,Less than 30 minutes,9,Zero,No,I don't participate in extracurricular activities,4,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,Yes,No,No,2,4,Less than 30 minutes,9,Zero,No,I don't participate in extracurricular activities,4,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",15,Yes,Yes,No,6,3,Less than 10 minutes,7,Zero,Yes,Sports,1,High
Yes,Freshmen,18,Male,"STEM (Science, Technology, Engineering, Mathematics)",14,Yes,Yes,No,4,11,Less than 1 hour,7,Zero,No,Part-time job,2,High
Yes,Senior,22,Female,"Social Science (Economics, Sociology, Psychology, etc.)",17,No,Yes,Yes,4,4,Less than 10 minutes,7,Zero,No,I don't participate in extracurricular activities,0,High
Yes,Freshmen,18,Male,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,No,4.5,4,Less than 30 minutes,7,Zero,No,I don't participate in extracurricular activities,0,High
Yes,Senior,21,Female,"STEM (Science, Technology, Engineering, Mathematics)",18,Yes,Yes,Yes,4,6,Less than 30 minutes,7,Two,Yes,Clubs/Student Organization,3,High
Yes,Senior,21,Female,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,Yes,19.5,4,Less than 10 minutes,7.5,Zero,Yes,Clubs/Student Organization,1.5,High
Yes,Freshmen,18,Female,"STEM (Science, Technology, Engineering, Mathematics)",17,Yes,Yes,No,3,6,Less than 10 minutes,5.8,Zero,Yes,Part-time job,2,High
Yes,Freshmen,18,Male,Business,15,Yes,No,No,2,10,Less than 30 minutes,7,One,Yes,Clubs/Student Organization,0.5,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,No,4,4,Less than 30 minutes,7,Zero,Yes,Part-time job,2,High
Yes,Junior,20,Female,"Social Science (Economics, Sociology, Psychology, etc.)",18,No,Yes,Yes,3,6,Less than 10 minutes,7,One,Yes,Clubs/Student Organization,1,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,Yes,Yes,No,3,3,Less than 1 hour,7,Zero,Yes,Clubs/Student Organization,4,High
Yes,Senior,23,Female,"STEM (Science, Technology, Engineering, Mathematics)",6,No,No,Yes,1,8,Less than 10 minutes,8,Zero,No,I don't participate in extracurricular activities,0,High
Yes,Senior,23,Male,"STEM (Science, Technology, Engineering, Mathematics)",10,No,No,Yes,2,2,Less than 1 hour,8,Zero,Yes,Sports,2,Low
Yes,Junior,20,Female,"STEM (Science, Technology, Engineering, Mathematics)",17,Yes,Yes,Yes,2.3,4,Less than 10 minutes,8,Zero,Yes,Part-time job,2,High
Yes,Sophomore,19,Female,Business,18,No,No,Yes,3.6,4,Less than 30 minutes,7,Zero,Yes,Clubs/Student Organization,3,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",15,Yes,Yes,No,2.3,4,Less than 30 minutes,6,Zero,No,Part-time job,0,High
Yes,Sophomore,19,Male,Agriculture,15,Yes,Yes,No,3.6,2,1 hour or more,8.5,More than Three,No,Part-time job,1.5,Low
Yes,Junior,20,Male,"Social Science (Economics, Sociology, Psychology, etc.)",16,Yes,Yes,No,2.5,8,Less than 30 minutes,8,Zero,Yes,Part-time job,4,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",17,Yes,Yes,Yes,4,1,Less than 10 minutes,5.2,Zero,Yes,Part-time job,6,Low
Yes,Senior,22,Female,"STEM (Science, Technology, Engineering, Mathematics)",16,No,Yes,Yes,1.5,5,Less than 10 minutes,5,Zero,Yes,Clubs/Student Organization,1,High
Yes,Junior,20,Female,"Liberal Art (Common Arts, History, etc.)",15,Yes,Yes,No,6,4,Less than 30 minutes,6,Zero,No,I don't participate in extracurricular activities,1,High
Yes,Senior,22,Male,"Social Science (Economics, Sociology, Psychology, etc.)",18,Yes,No,Yes,3,9,Less than 10 minutes,8,One,Yes,Sports,0.5,High
Yes,Senior,22,Male,"Social Science (Economics, Sociology, Psychology, etc.)",18,Yes,No,Yes,3,9,Less than 10 minutes,8,One,Yes,Sports,0.5,High
Yes,Junior,20,Female,"STEM (Science, Technology, Engineering, Mathematics)",12,No,Yes,Yes,3,3,Less than 30 minutes,7.5,Zero,Yes,Part-time job,2,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,Yes,Yes,No,2,2,Less than 30 minutes,7.5,Zero,Yes,Part-time job,2,Low
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,Yes,Yes,No,2,2,Less than 30 minutes,7.5,Zero,Yes,Part-time job,2,Low
Yes,Sophomore,19,Female,Business,15,No,Yes,No,2,3,Less than 30 minutes,8,Zero,Yes,Clubs/Student Organization,3,High
Yes,Sophomore,19,Female,Business,15,No,Yes,No,2,3,Less than 30 minutes,8,Zero,Yes,Clubs/Student Organization,3,High
Yes,Senior,22,Male,"STEM (Science, Technology, Engineering, Mathematics)",12,No,No,Yes,0.3,2,Less than 30 minutes,8,Zero,No,I don't participate in extracurricular activities,0,Low
Yes,Senior,21,Female,"Social Science (Economics, Sociology, Psychology, etc.)",18,Yes,Yes,Yes,4,3,Less than 30 minutes,6,Zero,Yes,Part-time job,3,High
Yes,Senior,21,Female,"STEM (Science, Technology, Engineering, Mathematics)",15,No,Yes,Yes,4.5,4,Less than 10 minutes,5.5,Zero,Yes,Part-time job,2,High
Yes,Senior,21,Male,"STEM (Science, Technology, Engineering, Mathematics)",14,Yes,Yes,Yes,3,3,Less than 10 minutes,8,Zero,Yes,Clubs/Student Organization,3,High
Yes,Sophomore,19,Female,"Liberal Art (Common Arts, History, etc.)",16,Yes,Yes,Yes,5,5,1 hour or more,7,One,Yes,Clubs/Student Organization,3.5,High
Yes,Sophomore,19,Male,"STEM (Science, Technology, Engineering, Mathematics)",16,Yes,Yes,No,3.2,3,Less than 1 hour,8,Zero,Yes,Clubs/Student Organization,2,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",16,Yes,Yes,Yes,3,3,Less than 30 minutes,8,Zero,Yes,Clubs/Student Organization,2,High
Yes,Freshmen,18,Female,"Liberal Art (Common Arts, History, etc.)",15,Yes,Yes,No,4,5,Less than 30 minutes,6,Zero,Yes,Clubs/Student Organization,2,High
Yes,Sophomore,19,Female,"Social Science (Economics, Sociology, Psychology, etc.)",17,No,Yes,No,3,4.7,1 hour or more,7,Zero,Yes,Clubs/Student Organization,3,High
Yes,Sophomore,19,Female,"Social Science (Economics, Sociology, Psychology, etc.)",17,No,Yes,No,2,5,Less than 10 minutes,6.5,Zero,Yes,Clubs/Student Organization,2.5,High
No,Sophomore,19,Female,"Social Science (Economics, Sociology, Psychology, etc.)",17,Yes,Yes,No,4,3,Less than 30 minutes,7,Zero,Yes,Clubs/Student Organization,4,High
Yes,Freshmen,18,Female,"STEM (Science, Technology, Engineering, Mathematics)",17,Yes,Yes,No,3,6,Less than 10 minutes,5.8,Zero,Yes,Part-time job,3,High
Yes,Senior,22,Female,"Social Science (Economics, Sociology, Psychology, etc.)",9,No,No,Yes,1.5,3.5,Less than 30 minutes,7,Zero,No,I don't participate in extracurricular activities,2,High
Yes,Sophomore,19,Female,"STEM (Science, Technology, Engineering, Mathematics)",18,Yes,Yes,No,1.9,4,Less than 10 minutes,7,One,No,I don't participate in extracurricular activities,2.5,High
Yes,Junior,20,Male,"STEM (Science, Technology, Engineering, Mathematics)",18,No,Yes,Yes,3,3,Less than 30 minutes,7,Two,Yes,Clubs/Student Organization,1,High
Yes,Junior,20,Male,Business,23,Yes,Yes,Yes,4,2,Less than 10 minutes,7,Zero,Yes,Volunteer/Community Service,1,Low
Yes,Senior,21,Male,"STEM (Science, Technology, Engineering, Mathematics)",16,Yes,Yes,Yes,4,4,Less than 30 minutes,7,Zero,Yes,Sports,2,High
Yes,Junior,20,Female,"Social Science (Economics, Sociology, Psychology, etc.)",14,Yes,Yes,No,2,3,Less than 30 minutes,7.5,Zero,Yes,Part-time job,4.5,High
Yes,Senior,21,Female,"STEM (Science, Technology, Engineering, Mathematics)",17,No,Yes,Yes,4,5,Less than 30 minutes,7,Zero,No,I don't participate in extracurricular activities,3,High
